id,name,description,category,weight,demonHunterOnly,minimumLeg,choice1,outcome1,choice2,outcome2,choice3,outcome3,choice4,outcome4
broken_wheel,Broken Wagon Wheel,The wheel hits a rock and splinters apart.,wagon_damage,4,false,2,endure: Lose 1 day repairing,LOSE_DAYS(amount=1),pay: Pay $8 to fix immediately [HAS_MONEY amount=8],LOSE_MONEY(amount=8),,,,
broken_yoke,Broken Yoke,The ox yoke has cracked — can't haul the full load.,wagon_damage,3,false,2,endure: Push on (-1 hand size next round),LOSE_HAND_SIZE(amount=1),pay: Pay $7 to replace [HAS_MONEY amount=7],LOSE_MONEY(amount=7),,,,
buffalo_stampede,Buffalo Stampede,The ground shakes as a herd of buffalo barrels toward the wagon.,animal,2,false,2,risk: Stand your ground,"p=0.6 — The herd parts around you! You collect bones from the fallen. — GAIN_DICE(count=2, enhancement=bone) | p=0.4 — Trampled! Equipment destroyed in the stampede. — LOSE_EQUIPMENT_CHOICE(count=1)",,,,,,
caught_fish,Caught Some Fish,The stream is teeming with fish. Easy catching.,positive,4,false,,take: Sell extra to travelers,GAIN_MONEY(amount=4),,,,,,
dead_livestock,Dead Livestock,One of your pack animals has died in the night.,animal,2,false,2,accept: Accept the loss,LOSE_RANDOM_DICE(count=1),,,,,,
dust_storm,Dust Storm,A wall of dust engulfs the wagon train. Can't see a thing.,weather,3,false,2,endure: Push through (-1 reroll per day next round),LOSE_REROLLS_PER_DAY(amount=1),,,,,,
extreme_cold,Extreme Cold,Biting cold sweeps across the plains. Everything is freezing.,weather,200,false,2,endure: Endure (diamond dice crack odds doubled),DIAMOND_CRACK_DOUBLED,pay: Buy firewood ($5) [HAS_MONEY amount=5],"LOSE_MONEY(amount=5); GAIN_DICE(count=1, enhancement=wooden)",,,,
extreme_heat,Extreme Heat,The sun beats down mercilessly. Water is running low.,weather,2,false,2,pay: Pay for water ($3 per day next round),LOSE_MONEY_PER_DAY(amount=3),sacrifice: Sacrifice 2 dice (animals drank supplies),LOSE_RANDOM_DICE(count=2),,,,
fallen_rocks,Fallen Rocks,Rocks tumble down from the ridge above without warning.,navigation,2,false,2,risk: Take your chances,"p=0.3 — A boulder crashes down on the wagon! — LOSE_RANDOM_DICE(count=1) | p=0.7 — The rocks miss! You salvage a fine stone from the rubble. — GAIN_DICE(count=1, enhancement=stone)",,,,,,
fallen_timbers,Fallen Timbers,Massive trees block the trail ahead.,navigation,3,false,2,pay: Pay $4 to clear the path [HAS_MONEY amount=4],LOSE_MONEY(amount=4),cut: Cut through (-1 day),"LOSE_DAYS(amount=1); GAIN_DICE(count=2, enhancement=wooden)",,,,
fellow_traveler,Fellow Traveler,A stranger offers to trade equipment — sight unseen.,stranger,3,false,2,trade: Trade 1 equipment [HAS_EQUIPMENT_ANY],"p=0.5 — The stranger's eyes glow — this gear is haunted. — LOSE_EQUIPMENT_CHOICE(count=1); GAIN_RANDOM_EQUIPMENT(aura=ghost, rarity=uncommon) | p=0.5 — A fair trade. Solid equipment. — LOSE_EQUIPMENT_CHOICE(count=1); GAIN_RANDOM_EQUIPMENT(rarity=uncommon)",decline: Decline,,,,,
fire_in_wagon,Fire in a Wagon,Smoke rises from one of the wagons. Fire!,wagon_damage,2,false,2,let_burn: Let it burn (lose all supply cards),LOSE_ALL_SUPPLY_CARDS,save: Try to save supplies,"p=0.5 — The fire spreads too fast. Days lost fighting it. — LOSE_DAYS(amount=2) | p=0.5 — Pulled a smoldering die from the ashes! — GAIN_DICE(count=1, enhancement=wooden, aura=fire)",,,,
flooded_trail,Flooded Trail,Recent rains have turned the trail into a muddy river.,water,3,false,2,pay: Hire a ferry ($5) [HAS_MONEY amount=5],LOSE_MONEY(amount=5),risk: Risk the crossing,p=0.6 — Made it across without a scratch! | p=0.4 — The current swept away part of the load! — LOSE_RANDOM_DICE(count=1),,,,
found_fruit,Found Fruit,Wild fruit trees line both sides of the trail.,positive,4,false,,take: Gather provisions,GAIN_RANDOM_SUPPLY_CARD(count=1),,,,,,
gold_strike,Gold Strike!,You spot a glint of gold in the creek bed!,positive,1,false,,mine: Mine it (-1 reroll),"LOSE_REROLLS(amount=1); GAIN_MONEY(amount=10); GAIN_DICE(count=1, enhancement=gold, aura=holy)",skip: Skip it,,,,,
hailstorm,Hailstorm,Chunks of ice hammer down from dark clouds above.,weather,2,false,2,wait: Wait it out (-1 day),LOSE_DAYS(amount=1),risk: Chance it,"p=0.5 — A chunk of ice smashes into the wagon! — LOSE_RANDOM_DICE(count=1) | p=0.5 — Found a perfect ice-encased stone after the storm. — GAIN_DICE(count=1, enhancement=stone, aura=icy)",,,,
heavy_fog,Heavy Fog,A thick fog rolls in. Can't see past the wagon ahead.,weather,3,false,2,endure: Push through (no rerolls on day 1),DISABLE_REROLL_DAY1,,,,,,
locusts,Locusts,"A swarm of locusts descends on the wagons, eating everything in sight.",weather,2,false,2,let_eat: Let them eat (lose all supply cards),LOSE_ALL_SUPPLY_CARDS,sacrifice: Sacrifice 1 equipment to protect supplies [HAS_EQUIPMENT_ANY],LOSE_EQUIPMENT_CHOICE(count=1),,,,
lose_trail,Lose Trail,The trail vanishes into scrubland. Which way?,navigation,3,false,2,wander: Wander (-1 day),LOSE_DAYS(amount=1),,,,,,
lost_trail,Lost Trail,No landmarks in sight. The group is turned around.,navigation,3,false,2,wander: Figure it out (-1 day),LOSE_DAYS(amount=1),pay: Pay for a guide ($4) [HAS_MONEY amount=4],LOSE_MONEY(amount=4),,,,
lost_severe,Lost!,You are hopelessly lost. Days pass with no progress.,navigation,1,false,5,wander: Wander (-1 day),LOSE_DAYS(amount=1),pay: Pay $8 for rescue [HAS_MONEY amount=8],LOSE_MONEY(amount=8); GAIN_SPECIFIC_SUPPLY_CARD(id=bless),,,,
missing_livestock,Missing Livestock,Two pack animals have wandered off in the night.,animal,2,false,2,accept: Press on without them (-2 dice),LOSE_RANDOM_DICE(count=2),pay: Pay $6 to search and recover [HAS_MONEY amount=6],LOSE_MONEY(amount=6),,,,
missing_person,Missing Person,Someone from the wagon train hasn't been seen since last night.,stranger,2,false,2,press_on: Press on (presumed dead),,"search: Search ($5, -1 day) [HAS_MONEY amount=5]","p=0.5 — Found them alive! They give you some gear. — LOSE_MONEY(amount=5); LOSE_DAYS(amount=1); GAIN_RANDOM_EQUIPMENT(rarity=rare) | p=0.5 — Found them dead. Only a bone die remains. — LOSE_MONEY(amount=5); LOSE_DAYS(amount=1); GAIN_DICE(count=1, enhancement=bone)",,,,
native_guide,Native Guide,A knowledgeable guide offers to share trail wisdom.,stranger,1,false,2,accept: Accept guidance (skip next shop),GAIN_TRAIL_GUIDES(count=3); SKIP_NEXT_SHOP,decline: Decline politely,,,,,
no_grass,No Grass,The prairie is parched — no feed for the animals anywhere.,animal,3,false,2,endure: Push on (-1 day next round),LOSE_DAYS(amount=1),pay: Buy feed ($4) [HAS_MONEY amount=4],LOSE_MONEY(amount=4),,,,
no_water,No Water,The springs have dried up. Water must be bought at a premium.,water,3,false,,pay: Buy water ($6) [HAS_MONEY amount=6],LOSE_MONEY(amount=6),endure: Ration what's left (-2 rerolls),LOSE_REROLLS(amount=2),,,,
prairie_fire,Prairie Fire,The horizon glows orange — wildfire sweeps across the plains.,weather,2,false,2,sacrifice: Lose 1 random equipment,LOSE_RANDOM_EQUIPMENT(count=1),pay: Drive through fast ($5) [HAS_MONEY amount=5],"You drive through the fire with only a little damage and gain a lucky die. — LOSE_MONEY(amount=5); GAIN_DICE(count=1, enhancement=lucky, aura=fire)",,,,
quicksand,Quicksand,The ground gives way beneath the wagon. Quicksand!,water,2,false,2,lose_dice: Struggle through (-1 die),LOSE_RANDOM_DICE(count=1),sacrifice: Sacrifice 1 equipment to pull free [HAS_EQUIPMENT_ANY],LOSE_EQUIPMENT_CHOICE(count=1),,,,
rough_trail,Rough Trail,"The trail ahead is rocky and punishing, but passable.",navigation,3,false,2,endure: Push through (x1.5 target score),SCORE_MULTIPLIER(multiplier=1.5),other_route: Look for another route (-1 day),LOSE_DAYS(amount=1),,,,
river_crossing,River Crossing,A wide river blocks the path. The current looks strong.,water,3,false,,pay: Ford safely ($5) [HAS_MONEY amount=5],LOSE_MONEY(amount=5),risk: Risk the crossing,p=0.5 — Crossed safely. The current wasn't as bad as it looked. | p=0.3 — The river pulls supplies downstream! — LOSE_RANDOM_DICE(count=1) | p=0.2 — Found something wedged between the rocks! — GAIN_RANDOM_EQUIPMENT(rarity=rare),,,,
severe_thunderstorm,Severe Thunderstorm,Lightning cracks and thunder shakes the earth.,weather,2,false,2,endure: Endure (lucky dice odds halved next round),LUCKY_ODDS_HALVED,medicine: Use medicine to calm animals [HAS_MEDICINE],USE_MEDICINE,,,,
sick_oxen,Sick Oxen,The oxen are sluggish and feverish this morning.,animal,3,false,2,pay: Pay for treatment ($3/day next round),LOSE_MONEY_PER_DAY(amount=3),sacrifice: Sacrifice a die to cure them,LOSE_RANDOM_DICE(count=1),,,,
snowbound,Snowbound,Heavy snow has trapped the wagon train.,weather,2,false,2,wait: Wait for thaw (-1 day),LOSE_DAYS(amount=1),pay: Pay $10 to dig out [HAS_MONEY amount=10],LOSE_MONEY(amount=10),,,,
spoiled_food,Spoiled Food,The food stores have gone bad in the heat.,positive,2,false,2,accept: Throw it out (lose 1 random supply card) [HAS_CONSUMABLE_ANY],LOSE_RANDOM_SUPPLY_CARD(count=1),nothing: Nothing to throw out [NOT_HAS_CONSUMABLE_ANY],You had nothing to lose.,,,,
strangers_ahead,Strangers Ahead,Figures on the trail ahead. Friend or foe?,stranger,3,false,,avoid: Avoid them,,approach: Approach,p=0.5 — Friendly traders! They share their surplus. — GAIN_MONEY(amount=5) | p=0.5 — Bandits in disguise! They take what they can. — LOSE_MONEY(amount=5),,,,
strangers_approach,Strangers Approach,A group approaches with a proposition — a gamble.,stranger,2,false,,gamble: Pay $5 for the gamble [HAS_MONEY amount=5],"p=0.5 — Winner! The strangers pay up and toss in a gold die. — GAIN_MONEY(amount=10); GAIN_DICE(count=1, enhancement=gold) | p=0.5 — You lose! They vanish with your money. — LOSE_MONEY(amount=5)",decline: Decline,,,,,
swamped_wagon,Swamped Wagon,"Water seeps into the wagon bed, soaking everything.",water,2,false,2,lose: Accept losses (-2 random supply/trail cards) [HAS_CONSUMABLE_ANY],LOSE_RANDOM_SUPPLY_CARD(count=2),nothing: Nothing was damaged [NOT_HAS_CONSUMABLE_ANY],You had nothing to lose.,pay: Pay $7 to salvage [HAS_MONEY amount=7],LOSE_MONEY(amount=7),,
theft_from_wagon,Theft From a Wagon,Someone has been rummaging through your wagon at night.,bandits,3,false,2,accept: Accept loss (lose random equipment),LOSE_RANDOM_EQUIPMENT(count=1),hunter_chase: Chase down the thieves [IS_PROFESSION id=hunter],p=0.3 — You are unable to catch the thieves. — LOSE_RANDOM_EQUIPMENT(count=1) | p=0.7 — You chase down the thieves and they are caught red-handed. — GAIN_MONEY(amount=3),weapon: Scare them off with weapon [HAS_WEAPON],GAIN_MONEY(amount=3),,
thick_dust,Thick Dust From Other Wagons,The wagons ahead kick up choking clouds of dust.,navigation,3,false,2,endure: Endure it (-1 reroll next round),LOSE_REROLLS(amount=1),,,,,,
thief,Thief!,A thief is caught red-handed in the night!,bandits,3,false,2,accept: Let them go (lose $8),LOSE_MONEY(amount=8),chase: Chase them (sacrifice a die),LOSE_RANDOM_DICE(count=1); GAIN_MONEY(amount=12),,,,
tipped_wagon,Tipped Wagon,The wagon tilts too far on a slope and tips over completely.,wagon_damage,2,false,5,accept: Accept losses (lose 1 equipment + 1 die),LOSE_RANDOM_EQUIPMENT(count=1); LOSE_RANDOM_DICE(count=1),pay: Pay $10 to right it (keep everything) [HAS_MONEY amount=10],LOSE_MONEY(amount=10),,,,
too_many_at_river,Too Many People At the River,A long queue of wagons waits at the river crossing.,water,3,false,2,wait: Wait in line (-1 day),LOSE_DAYS(amount=1),pay: Pay to cut in line ($6) [HAS_MONEY amount=6],LOSE_MONEY(amount=6),,,,
wagon_fell_through_ice,Wagon Fell Through Ice,The ice cracks and the wagon plunges into freezing water.,water,1,false,5,"accept: Accept losses (-3 dice, -1 equipment)",LOSE_RANDOM_DICE(count=3); LOSE_RANDOM_EQUIPMENT(count=1),pay: Hire help ($5) [HAS_MONEY amount=5],LOSE_MONEY(amount=5),,,,
wagon_deep_sand,Wagon Stuck in Deep Sand,The wheels sink deep into loose sand. Won't budge.,wagon_damage,3,false,2,wait: Dig out (-1 day),LOSE_DAYS(amount=1),lighten: Lighten the load (sacrifice 2 dice),LOSE_RANDOM_DICE(count=2),,,,
wagon_stuck_mud,Wagon Stuck in the Mud,The wheels are mired deep in thick mud.,wagon_damage,3,false,2,wait: Push it out (-1 day),LOSE_DAYS(amount=1),pay: Hire oxen team ($5) [HAS_MONEY amount=5],LOSE_MONEY(amount=5),,,,
wagon_morale_low,Wagon Train Morale Is Low,The group is disheartened. Nobody wants to keep going.,stranger,2,false,,endure: Push through (standard dice day 1),STANDARD_DICE_DAY1,pay: Buy whiskey ($5) [HAS_MONEY amount=5],LOSE_MONEY(amount=5),,,,
wild_fruit,Wild Fruit,Bushes heavy with berries line the trail.,positive,3,false,,take: Gather what you can,GAIN_MONEY(amount=3); GAIN_RANDOM_SUPPLY_CARD(count=1),,,,,,
wild_vegetables,Wild Vegetables,Edible roots and vegetables grow wild along the creek.,positive,3,false,,take: Harvest them,GAIN_MEDICINE_CARD,,,,,,
wrong_trail,Wrong Trail,You realize too late — this trail goes nowhere good.,navigation,2,false,5,"accept: Turn back (-1 day, boss miles x1.1)",LOSE_DAYS(amount=1); BOSS_UPGRADE(multiplier=1.1),,,,,,
abandoned_mine,Abandoned Mine,A dark mine shaft beckons from the hillside.,positive,3,false,2,explore: Explore the shaft,"p=0.5 — Struck steel! The mine still had ore left. — GAIN_DICE(count=2, enhancement=steel) | p=0.5 — Cave-in! Barely escaped with your life. — LOSE_DAYS(amount=1); LOSE_RANDOM_DICE(count=1)",skip: Skip it,,,,,
traveling_blacksmith,Traveling Blacksmith,A blacksmith with a portable forge offers his services.,stranger,2,false,2,"forge: Forge a steel die ($6, sacrifice 2 dice) [HAS_MONEY amount=6]","LOSE_MONEY(amount=6); LOSE_RANDOM_DICE(count=2); GAIN_DICE(count=1, enhancement=steel, aura=fire)",decline: Decline,,,,,
crystal_cave,Crystal Cave,Crystals glitter in a cave mouth just off the trail.,positive,2,false,2,explore: Explore (-1 day),"LOSE_DAYS(amount=1); GAIN_DICE(count=1, enhancement=diamond, aura=icy)",skip: Skip it,,,,,
old_prospectors_cache,Old Prospector's Cache,A dying prospector presses a pouch into your hands.,positive,2,false,,take: Accept his stash,"GAIN_DICE(count=1, enhancement=diamond)",medicine: Give him medicine [HAS_MEDICINE],"USE_MEDICINE; GAIN_DICE(count=1, enhancement=diamond, aura=holy)",,,,
iron_vein,Iron Vein,Rich iron ore is exposed in the cliff face.,positive,2,false,2,mine_cheap: Try to mine it yourself ($4) [HAS_MONEY amount=4],"You had some difficulty mining the ore and lost 1 random enhanced dice. Gained 2 steel die. — LOSE_MONEY(amount=4); LOSE_RANDOM_DICE(count=1); GAIN_DICE(count=2, enhancement=steel)",hire_miners: Hire miners ($8) [HAS_MONEY amount=8],"The miners do the work, but take a cut. Gained 1 steel die with a red bullet sticker. — LOSE_MONEY(amount=8); GAIN_DICE(count=1, enhancement=steel, sticker=red_bullet)",skip: Skip it,,,
sunken_chest,Sunken Chest,Something glints beneath the river surface — a chest!,positive,1,false,,fish: Fish it out ($5) [HAS_MONEY amount=5],"p=0.4 — A glowing gold die, still warm from some ancient fire! — LOSE_MONEY(amount=5); GAIN_DICE(count=1, enhancement=gold, aura=fire) | p=0.3 — Two gold dice rattling inside! Jackpot. — LOSE_MONEY(amount=5); GAIN_DICE(count=2, enhancement=gold) | p=0.3 — Empty. Just rocks and river muck. — LOSE_MONEY(amount=5)",skip: Leave it,,,,,
old_burial_ground,Old Burial Ground,Ancient graves mark the path ahead. Tread carefully.,stranger,2,false,2,respect: Pass respectfully,"GAIN_DICE(count=2, enhancement=bone, aura=holy)",disturb: Disturb the graves (-2 rerolls),"GAIN_DICE(count=4, enhancement=bone); LOSE_REROLLS(amount=2)",,,,
whale_bones,Whale Bones,A massive skeleton half-buried in desert sand. Incredible.,positive,2,false,,harvest: Harvest the bones,"GAIN_DICE(count=3, enhancement=bone)",carve: Carve them ($4) [HAS_MONEY amount=4],"LOSE_MONEY(amount=4); GAIN_DICE(count=1, enhancement=bone, aura=fire); GAIN_DICE(count=1, enhancement=bone, aura=icy)",,,,
four_leaf_clover,Four-Leaf Clover Patch,A field of clover stretches before you. Lucky spot.,positive,2,false,2,quick: Grab one,"GAIN_DICE(count=1, enhancement=lucky)",search: Search the whole field (-1 day),"LOSE_DAYS(amount=1); GAIN_DICE(count=2, enhancement=lucky, aura=holy)",,,,
rabbit_warren,Rabbit Warren,Rabbits dart everywhere. Easy pickings.,positive,2,false,,catch: Catch rabbits,"GAIN_MONEY(amount=3); GAIN_DICE(count=1, enhancement=lucky)",trap: Set traps ($4) [HAS_MONEY amount=4],"LOSE_MONEY(amount=4); GAIN_DICE(count=1, enhancement=lucky, sticker=red_bullet); GAIN_DICE(count=1, enhancement=lucky)",,,,
shooting_star,Shooting Star,A brilliant streak crosses the night sky. Make a wish.,positive,2,false,,wish: Make a wish,"p=0.5 — A warm light descends. Your wish was heard. — GAIN_DICE(count=1, enhancement=lucky, aura=holy) | p=0.5 — A cold wind answers. The star leaves a frozen gift. — GAIN_DICE(count=1, enhancement=lucky, aura=icy)",,,,,,
quarry_site,Quarry Site,An abandoned quarry with good stone still exposed.,positive,2,false,,take: Take what you can,"GAIN_DICE(count=2, enhancement=stone)",hire: Hire a crew ($5) [HAS_MONEY amount=5],"LOSE_MONEY(amount=5); GAIN_DICE(count=2, enhancement=stone, aura=icy)",,,,
petrified_forest,Petrified Forest,Ancient trees turned to stone. Beautiful and valuable.,positive,1,false,2,careful: Harvest carefully (-1 day),"LOSE_DAYS(amount=1); GAIN_DICE(count=2, enhancement=stone, aura=holy)",blast: Use dynamite (sacrifice 1 equipment) [HAS_EQUIPMENT_ANY],"LOSE_EQUIPMENT_CHOICE(count=1); GAIN_DICE(count=3, enhancement=stone, aura=fire)",,,,
clear_skies,Clear Skies,Blue sky stretches to the horizon. A perfect day on the trail.,uneventful,2,false,,continue: Continue on,,,,,,,
beautiful_sunset,Beautiful Sunset,The wagon train stops early to watch the sun dip behind the mountains.,uneventful,2,false,,continue: Continue on,,,,,,,
campfire_songs,Campfire Songs,The group gathers around the fire and shares songs from back home.,uneventful,2,false,,continue: Continue on,,,,,,,
deer_spotted,Deer Spotted,"A buck watches from a ridge, then vanishes into the pines.",uneventful,2,false,,continue: Continue on,,,,,,,
calm_river,Calm River,"A gentle stream runs alongside the trail. Good water, easy crossing.",uneventful,2,false,,continue: Continue on,,,,,,,
wildflowers,Wildflowers,The prairie is carpeted in color for miles. Morale is high.,uneventful,2,false,,continue: Continue on,,,,,,,
cool_breeze,Cool Breeze,A welcome wind rolls through after days of heat. Everyone breathes easier.,uneventful,2,false,,continue: Continue on,,,,,,,
starry_night,Starry Night,Thousands of stars overhead. The children try to count them.,uneventful,2,false,,continue: Continue on,,,,,,,
morning_frost,Morning Frost,A thin layer of ice on the grass catches the dawn light. Beautiful and brief.,uneventful,2,false,,continue: Continue on,,,,,,,
eagles_overhead,Eagles Overhead,A pair of bald eagles circle above the wagon train. Good omen.,uneventful,2,false,,continue: Continue on,,,,,,,
crossroads_deal,Crossroads Deal,A well-dressed stranger at the crossroads offers a bargain.,demon_hunter,3,true,4,accept: Accept the deal and sell your soul? (lose 1 equipment slot),"You shake the stanger's hand. A cold sensation runs through you. The stranger smiles, here are your rewards... — GAIN_DICE(count=1, enhancement=diamond, aura=fire, sticker=red_bullet); GAIN_RANDOM_EQUIPMENT(aura=ghost, rarity=legendary); LOSE_EQUIPMENT_SLOT_PERMANENT",refuse: Refuse,"The strangers laughs and disappears leaving behind a pouch of coins and a bone die. — GAIN_MONEY(amount=5); GAIN_DICE(count=1, enhancement=bone)",,,,
possessed_wagon,Possessed Wagon,Your wagon shakes and groans at night. Something is inside.,demon_hunter,2,true,4,exorcise: Exorcise (use medicine) [HAS_MEDICINE],"USE_MEDICINE; GAIN_RANDOM_EQUIPMENT(aura=ghost, rarity=uncommon)","abandon: Abandon wagon (lose supplies, -1 day)","LOSE_ALL_SUPPLY_CARDS; LOSE_DAYS(amount=1); GAIN_DICE(count=2, enhancement=steel, aura=fire)",,,,
fallen_angel,Fallen Angel,"A wounded celestial being lies on the trail, radiating faint light.",demon_hunter,1,true,4,"help: Help it ($10, -1 day) [HAS_MONEY amount=10]","LOSE_MONEY(amount=10); LOSE_DAYS(amount=1); GAIN_DICE(count=1, enhancement=gold, aura=holy, sticker=blue_moon); GAIN_RANDOM_EQUIPMENT(aura=holy, rarity=uncommon)",ignore: Ignore it,,"betray: Betray it (sacrifice equipment, lose all rerolls) [HAS_EQUIPMENT_ANY]","LOSE_EQUIPMENT_CHOICE(count=1); GAIN_DICE(count=2, enhancement=diamond, aura=fire); LOSE_ALL_REROLLS",,
demons_bounty,Demon's Bounty,You slay a lesser demon. Its remains smolder on the ground.,demon_hunter,3,true,4,collect: Collect the remains,"GAIN_DICE(count=1, enhancement=steel, aura=fire, sticker=red_bullet); GAIN_MONEY(amount=8)",purify: Purify the remains (use medicine) [HAS_MEDICINE],"USE_MEDICINE; GAIN_DICE(count=1, enhancement=steel, aura=holy, sticker=golden_dollar)",,,,
blood_moon_rising,Blood Moon Rising,The moon turns crimson. Your dice feel heavy with dread.,demon_hunter,2,true,4,endure: Endure (25% scored dice destroyed),"SCORED_DICE_DESTROY_CHANCE(chance=0.25); GAIN_DICE(count=2, enhancement=lucky, aura=fire, sticker=purple_flower)","ritual: Perform ritual ($12, skip curse) [HAS_MONEY amount=12]",LOSE_MONEY(amount=12),,,,
preachers_ghost,The Preacher's Ghost,A spectral preacher appears and blesses your journey.,demon_hunter,2,true,4,accept: Accept the blessing,"GAIN_RANDOM_EQUIPMENT(aura=ghost, rarity=uncommon)",,,,,,
hellmouth,Hellmouth,A crack in the earth belches fire and brimstone.,demon_hunter,1,true,4,"descend: Descend (-2 days, sacrifice 2 dice)","LOSE_DAYS(amount=2); LOSE_RANDOM_DICE(count=2); GAIN_DICE(count=1, enhancement=diamond, aura=fire, sticker=red_bullet); GAIN_DICE(count=1, enhancement=gold, aura=fire)",seal: Seal it (sacrifice equipment) [HAS_EQUIPMENT_ANY],"LOSE_EQUIPMENT_CHOICE(count=1); GAIN_DICE(count=3, enhancement=stone, aura=holy)",walk_away: Walk away (-1 day),LOSE_DAYS(amount=1),,
cursed_graveyard,Cursed Graveyard,Unholy ground radiates dark power. The air crackles.,demon_hunter,2,true,4,desecrate: Desecrate (boss x2),"GAIN_DICE(count=3, enhancement=bone, aura=fire, sticker=red_bullet); BOSS_UPGRADE(multiplier=2)",consecrate: Consecrate (use medicine) [HAS_MEDICINE],"USE_MEDICINE; GAIN_DICE(count=2, enhancement=bone, aura=holy, sticker=golden_dollar)",pass: Pass through carefully,p=0.5 — The spirits let you pass undisturbed. | p=0.5 — A skeletal hand reaches up and drags something down. — LOSE_RANDOM_DICE(count=1),,
angels_armory,Angel's Armory,Hidden behind a waterfall — a cache of holy weapons.,demon_hunter,1,true,4,buy: Unlock it ($15) [HAS_MONEY amount=15],"LOSE_MONEY(amount=15); GAIN_RANDOM_EQUIPMENT(aura=holy, rarity=rare)",consolation: Take what you can,"GAIN_DICE(count=1, enhancement=steel, aura=holy)",,,,
demonic_duel,Demonic Duel,A demon blocks the trail and challenges you directly.,demon_hunter,1,true,4,fight: Fight (sacrifice equipment) [HAS_EQUIPMENT_ANY],"LOSE_EQUIPMENT_CHOICE(count=1); GAIN_DICE(count=2, enhancement=diamond, aura=fire, sticker=red_bullet); GAIN_MONEY(amount=15); GAIN_FRONTIER_ENCOUNTER","flee: Flee (-$10, -1 day)",LOSE_MONEY(amount=10); LOSE_DAYS(amount=1),bargain: Bargain (sacrifice 3 dice),"LOSE_RANDOM_DICE(count=3); GAIN_RANDOM_EQUIPMENT(aura=ghost, rarity=rare)",,
witchs_offer,The Witch's Offer,A crone emerges from the shadows with glowing eyes.,demon_hunter,2,true,4,accept: Accept her offer,"ADD_AURA_TO_RANDOM_DICE(count=3, aura=fire)",decline: Decline (cursed: -1 reroll next round),LOSE_REROLLS(amount=1),burn: Burn her (sacrifice equipment) [HAS_EQUIPMENT_ANY],"LOSE_EQUIPMENT_CHOICE(count=1); GAIN_DICE(count=2, enhancement=lucky, aura=holy, sticker=purple_flower)",,
infernal_forge,Infernal Forge,A demonic blacksmith offers his services — at a cost.,demon_hunter,2,true,4,sacrifice_dice: Sacrifice 3 dice,"LOSE_RANDOM_DICE(count=3); GAIN_DICE(count=1, enhancement=steel, aura=fire, sticker=red_bullet)",sacrifice_equip: Sacrifice equipment [HAS_EQUIPMENT_ANY],"LOSE_EQUIPMENT_CHOICE(count=1); GAIN_DICE(count=2, enhancement=steel, aura=fire)",,,,
