id,name,cost,rarity,description
one_man_posse,One-Man Posse,8,rare,x1  mult for each empty equipment slot
covered_wagon,Covered Wagon,6,uncommon,"Gains  +12 miles for every Wood die scored
Also makes Firewood supply cards 2 times more likely"
moonshine,Moonshine,6,uncommon,"Retrigger all enhanced dice. Enhanced dice have  1 in 6  chance of being destroyed, diamond dice  1 in 3 ."
burn_barrel,Burn Barrel,6,uncommon,"At start of each round, destroy one standard non-enhanced die. If destroyed, earn  $3 ."
shortcut_trail,Shortcut Trail,6,uncommon,x0.25  mult for each round of journey skipped
quick_draw,Quick Draw,4,common,Retrigger first played die 2 additional times
last_laugh,Last Laugh,5,uncommon,Retrigger last played die 1 additional time
lucky_penny,Lucky Penny,7,uncommon,Played lucky dice earn  $1  when scored
bone_charm,Bone Charm,7,uncommon,"Played bone dice have  1 in 2  chance to give  x1.5  mult
Also makes Buzzards supply cards 2 times more likely"
wood_axe,Wood Axe,7,uncommon,"Played wooden dice give  +50  miles when scored
Also makes Firewood supply cards 2 times more likely"
iron_spurs,Iron Spurs,7,uncommon,"Played iron dice give  +7  mult when scored
Also makes Coffee Tin supply cards 2 times more likely"
diamond_coffin,Diamond Coffin,6,uncommon,"Item gains  x0.75  mult for every diamond die that is destroyed
Also makes Pick Axe supply cards 2 times more likely"
counterfeit_goods,Counterfeit Goods,5,uncommon,Allows items/trail guides/supplies/frontier encounter cards to appear multiple times in the shop and packs
rainbow_trail,Rainbow Trail,5,uncommon,"x2  if 2 different enhanced dice score,  x3  if 3,  x4  if 4,  x5  if 5 different"
loaded_dice,Loaded Dice,4,uncommon,Doubles all listed probabilities
one_armed_bandit,One Armed Bandit,6,uncommon,1 in 4 chance for x4 mult and $10 when a hand is scored
gamblers_dice_cup,Gambler's Dice Cup,8,rare,All dice have  1 in 6  odds of rolling the selected loaded die value.
mirror_lake,Mirror Lake,10,rare,"Copies the ability of: 
Nothing to copy"
echo_chamber,Echo Chamber,10,rare,"Copies the leftmost ability: 
Nothing to copy"
five_mile_marker,5 Mile Marker,8,uncommon,Gains  +5  miles each time a  5  pip is scored
trail_backpack,Trail Backpack,7,uncommon,"+2 rerolls  per day,  -1 dice  when rolling"
hitched_pair,Hitched Pair,8,uncommon,x2  mult if hand contains  Pair
hat_trick,Hat Trick,8,uncommon,x3  mult if hand contains  3 of a Kind
posse_wagon,Posse Wagon,8,uncommon,x4  mult if hand contains  4 of a Kind
five_finger_fillet,Five Finger Fillet,8,uncommon,x5  mult if hand contains  5 of a Kind
snake_river,Snake River,8,uncommon,x3  mult if hand contains  5 Straight
express_train,Express Train,7,uncommon,"+250  miles,  -2 rerolls"
phantom_wagon,Phantom Wagon,8,rare,"After 2 rounds, sell this card to duplicate a random item (removes ghost aura)"
trail_almanac,Trail Almanac,6,uncommon,$1  at end of round for every type of trail guide discovered
blessed_herd,Blessed Herd,7,uncommon,x3  mult if you have at least  16  enhanced dice in collection
supply_drop,Supply Drop,6,uncommon,Create a random supply card at start of round
explorers_guild,Explorer's Guild,8,uncommon,All trail guides and trail guide packs are free in the shop
graverobber,Graverobber,7,uncommon,"Gains  x0.1  mult per scored enhanced dice, removes dice enhancement"
pack_saddle,Pack Saddle,4,common,+1 hand size
coffee,Coffee,6,uncommon,"+2 hand size ,  -1 day  per round"
flour_sack,Flour Sack,6,uncommon,"+5 hand size , reduces by  1 each round . Hank Caldwell (Farmer) keeps the full  +5  with no decay."
oil_baron,Oil Baron,7,uncommon,+2  mult for every  $5  you have
trailblazer,Trailblazer,8,rare,Earns  x0.2  mult per consecutive hand played without playing your most played hand
golden_spike,Golden Spike,7,uncommon,All scored dice have a  1 in 4  chance to turn into a gold dice
sheriffs_badge,Sheriff's Badge,5,uncommon,Sell this item to disable the current boss effect
bounty_contract,Bounty Contract,6,uncommon,Sell this item to gain a free Twin Wagon tag
double_barrel,Double Barrel,5,common,First played  2  pip die gives  x2  mult when scored
raffle_ticket,Raffle Ticket,6,uncommon,At the end of each round add  $1  of sell value to each piece of equipment/consumable
ghost_town,Ghost Town,6,uncommon,"+30  miles for each dice below the collection's starting size
Currently:  +80"
savings_account,Savings Account,5,uncommon,"Earn an extra  $1  of interest for every  $5  you have at end of round.
Henry Pritchard (Accountant): this bonus ignores the interest cap (base interest is still capped)."
six_feet_under,Six Feet Under,5,common,"+6  mult for each dice below the collection's starting size"
eight_second_ride,Eight Second Ride,8,rare,"Each consecutive scored  8  gains  +0.5  xMult over the previous
( x1 ,  x1.5 ,  x2 ,  x2.5 ,  x3 ...)"
stacked_deck,Stacked Deck,10,rare,"Loaded dice are considered all pip values for equipment effects
Also makes Loaded supply cards 2 times more likely"
pack_mule,Pack Mule,5,uncommon,Adds  +2  consumable slots
loaded_chamber,Loaded Chamber,5,uncommon,"Retrigger all scored  lucky  dice
Also makes Rabbit's Foot supply cards 2 times more likely"
stew,Stew,6,common,"First hand each round has  1 in 2  to gain +1 trail guide level
Lasts for  5 rounds"
pioneer_spirit,Pioneer Spirit,8,rare,"+12  miles for each trail guide level above 1 on every hand type
Currently:  +0  miles"
cursed_dice,Cursed Dice,7,uncommon,"Scored loaded dice have  1 in 7  to be destroyed and grant a frontier card
Also makes Loaded supply cards 2 times more likely"
pocket_watch,Pocket Watch,4,common,Gains +10 miles per travel day left and +1 mult per reroll left after each round
sandwich,Sandwich,8,uncommon,"At end of round, gain a random mega pack/grab-bag tag (lasts 5 rounds)"
penny_pincher,Penny Pincher,6,common,Gain  $5  whenever a pack is skipped
campfire_embers,Campfire Embers,6,uncommon,Gains  x0.2  at end of each non-boss round
potluck,Potluck,7,uncommon,"After boss defeat, fill free consumable slots with  Second Helpings"
fresh_trail,Fresh Trail,5,common,+5  miles per new hand type each round; bonus miles carry over between rounds
silver_reserve,Silver Reserve,8,rare,Gain  x0.4  mult for every  $25  you have
dust_trail,Dust Trail,8,rare,x1  mult per day travelled. Resets every round
blackjack,Blackjack,7,rare,x3  mult when played dice sum to  21 .  -0.5  mult per point below  21 . Over  21  is  bust
roulette_wheel,Roulette Wheel,5,uncommon,x1.0  to  x4.0  xMult  random  each day
offering_bowl,Offering Bowl,4,common,"Round start: destroy a random consumable. If destroyed, gain  +4  mult"
supply_caravan,Supply Caravan,4,common,"+16  miles for each equipment card owned
Currently:  +0"
split_trail,Split Trail,7,uncommon,Gain  x2.5  if scored hand contains both odd and even values
pawn_broker,Pawn Broker,5,uncommon,This item gains  $1  sell value whenever money is earned
alchemy_kit,Alchemy Kit,7,uncommon,"Gold dice also count as steel, and steel dice also count as gold
Also makes Coffee Tin and Pan for Gold supply cards 2 times more likely"
